Displacement (mm),Force (kN)
43.11534,101.60589
39.04613,64.2599
25.41953,1.36367
17.99615,-28.89743
10.55229,-68.05959
4.28252,-129.62314
-2.00261,-197.86247
-7.97629,-263.91373
-18.93815,-367.19943
-49.59672,-508.15961
-59.18995,-549.28668
-67.82325,-572.72327
-73.34215,-574.27905
-77.33968,-580.47137
-78.1409,-529.17877
-76.78762,-473.69592
-73.92834,-429.52539
-69.84377,-385.5036
-64.78905,-319.34076
-59.1268,-255.47757
-53.80159,-204.92877
-49.40559,-158.71892
-43.16142,-108.28168
-36.92748,-62.29497
-25.46561,-8.03946
-18.35879,17.8083
-3.40452,125.06104
6.60254,212.88144
15.4048,309.75168
24.10978,364.34192
31.8446,396.79108
47.66152,479.45435
56.32554,516.24249
64.64741,537.49097
70.20215,554.6236
74.20992,565.26642
77.57945,564.85736
75.5265,471.61945
71.11002,416.50851
66.33601,339.18219
60.36745,275.35617
50.00287,165.32031
44.99422,119.18485
31.62275,33.9988
23.24457,-11.72757
15.79559,-53.11499
-4.17757,-210.9537
-12.94911,-294.47235
-20.11224,-344.79803
-34.081,-423.23392
-39.96766,-451.45569
-47.08983,-483.97925
-52.65993,-507.78772
-58.53635,-531.55896
-65.91877,-544.01794
-70.83015,-547.87341
-75.75176,-556.17944
-77.27825,-553.76819
-77.79362,-511.41382
-75.21506,-456.07977
-70.47178,-392.10501
-66.06553,-341.44464
-61.3376,-284.14566
-55.6856,-224.73299
-50.96791,-171.88454
-44.99934,-108.05853
-40.02141,-75.27464
-31.97515,-40.6374
-26.39481,-12.37841
-18.94583,29.009
-9.01557,83.45047
-0.60155,144.75368
5.97966,208.50529
20.05081,331.44644
26.89226,375.13351
47.932,463.8403
56.60115,502.8537
62.46732,522.17444
68.93591,536.97028
76.94633,556.03064
81.86282,562.11139
87.07028,561.47913
91.34854,556.50793
94.70271,549.42303
94.29913,507.18027
93.61481,476.10095
92.90489,433.89532
89.73417,387.53671
86.5788,347.85388
83.71953,303.68335
80.56928,266.22577
77.10248,224.35487
72.40527,180.40749
68.3463,147.51201
61.14733,81.60951
54.92875,42.2986
46.56593,3.24802
39.45911,-22.59975
32.66373,-46.25944
26.19515,-61.05527
19.70097,-86.97742
12.27759,-117.23852
5.45661,-152.02452
1.07084,-193.78386
-8.24678,-248.2997
-18.218,-320.54327
-23.22665,-366.67874
-29.11843,-397.12579
-37.48637,-438.40164
-44.3227,-479.86343
-53.90569,-516.53998
-63.45796,-539.86499
-72.07591,-556.62573
-79.12129,-555.77032
-83.39955,-550.79913
-87.99437,-550.24127
-88.45854,-485.63425
-88.64199,-432.19073
-89.11641,-372.03424
-89.6113,-320.77881
-89.78963,-265.11005
-90.59084,-213.81741
-90.81525,-178.17603
-90.73334,-142.57181
